problem_id,gemma_arabic,gemma_english,gemma_language_gap,qwen_arabic,qwen_english,qwen_language_gap,qwen_minus_gemma_gap
1,1,1,0,0,1,1,1
2,0,1,1,0,0,0,-1
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,1,1,0,0,1,1,1
6,0,0,0,0,1,1,1
7,0,1,1,0,1,1,0
8,0,0,0,0,1,1,1
9,0,1,1,0,1,1,0
10,0,1,1,0,1,1,0
11,0,1,1,0,1,1,0
12,0,1,1,0,1,1,0
13,1,1,0,1,1,0,0
14,1,1,0,0,1,1,1
15,0,0,0,1,1,0,0
16,0,1,1,0,1,1,0
17,0,1,1,0,1,1,0
18,1,1,0,0,1,1,1
19,1,0,-1,0,1,1,2
20,0,0,0,0,1,1,1
21,0,1,1,0,1,1,0
22,0,1,1,0,1,1,0
23,1,1,0,0,1,1,1
24,0,1,1,0,1,1,0
25,1,1,0,0,1,1,1
26,0,1,1,0,1,1,0
27,0,1,1,0,1,1,0
28,0,0,0,0,1,1,1
29,0,0,0,0,1,1,1
30,0,1,1,0,1,1,0
31,1,1,0,0,1,1,1
32,0,1,1,0,1,1,0
33,0,0,0,0,1,1,1
34,0,1,1,0,1,1,0
35,0,0,0,0,1,1,1
36,0,0,0,0,1,1,1
37,1,1,0,0,1,1,1
38,0,0,0,0,1,1,1
39,1,1,0,0,1,1,1
40,0,1,1,0,1,1,0
41,0,1,1,0,1,1,0
42,0,0,0,0,1,1,1
43,0,0,0,0,1,1,1
44,0,1,1,0,1,1,0
45,0,1,1,0,1,1,0
46,0,0,0,0,1,1,1
47,0,0,0,0,1,1,1
48,1,0,-1,0,1,1,2
49,0,1,1,0,1,1,0
50,1,1,0,0,1,1,1
51,0,1,1,0,1,1,0
52,0,1,1,0,1,1,0
53,0,0,0,0,1,1,1
54,0,1,1,0,1,1,0
55,0,0,0,0,1,1,1
56,1,1,0,0,1,1,1
57,0,1,1,0,1,1,0
58,1,1,0,0,1,1,1
59,0,0,0,0,0,0,0
60,1,0,-1,0,0,0,1
61,0,1,1,0,1,1,0
62,0,0,0,0,1,1,1
63,1,0,-1,0,1,1,2
64,0,0,0,0,1,1,1
65,1,1,0,0,1,1,1
66,0,1,1,0,1,1,0
67,0,0,0,0,0,0,0
68,0,1,1,0,1,1,0
69,0,1,1,0,1,1,0
70,1,1,0,0,1,1,1
71,0,0,0,0,1,1,1
72,0,1,1,0,1,1,0
73,0,0,0,0,1,1,1
74,0,1,1,0,1,1,0
75,0,1,1,0,1,1,0
76,0,0,0,0,1,1,1
77,0,0,0,0,0,0,0
78,0,1,1,0,1,1,0
79,1,1,0,0,1,1,1
80,0,1,1,0,1,1,0
81,0,1,1,0,1,1,0
82,1,1,0,0,1,1,1
83,1,0,-1,0,1,1,2
84,0,0,0,0,1,1,1
85,0,0,0,0,0,0,0
86,0,0,0,0,1,1,1
87,0,1,1,0,1,1,0
88,0,0,0,0,1,1,1
89,0,1,1,0,1,1,0
90,0,0,0,0,1,1,1
91,0,1,1,0,1,1,0
92,0,1,1,0,1,1,0
93,0,1,1,0,1,1,0
94,0,1,1,0,1,1,0
95,0,0,0,0,1,1,1
96,0,0,0,0,1,1,1
97,0,1,1,0,1,1,0
98,0,0,0,0,1,1,1
99,1,1,0,0,1,1,1
100,0,1,1,0,1,1,0
