problem_id,arabic_correct,english_correct,english_minus_arabic
1,1,1,0
2,0,1,1
3,0,0,0
4,0,0,0
5,1,1,0
6,0,0,0
7,0,1,1
8,0,0,0
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,1
13,1,1,0
14,1,1,0
15,0,0,0
16,0,1,1
17,0,1,1
18,1,1,0
19,1,0,-1
20,0,0,0
21,0,1,1
22,0,1,1
23,1,1,0
24,0,1,1
25,1,1,0
26,0,1,1
27,0,1,1
28,0,0,0
29,0,0,0
30,0,1,1
31,1,1,0
32,0,1,1
33,0,0,0
34,0,1,1
35,0,0,0
36,0,0,0
37,1,1,0
38,0,0,0
39,1,1,0
40,0,1,1
41,0,1,1
42,0,0,0
43,0,0,0
44,0,1,1
45,0,1,1
46,0,0,0
47,0,0,0
48,1,0,-1
49,0,1,1
50,1,1,0
51,0,1,1
52,0,1,1
53,0,0,0
54,0,1,1
55,0,0,0
56,1,1,0
57,0,1,1
58,1,1,0
59,0,0,0
60,1,0,-1
61,0,1,1
62,0,0,0
63,1,0,-1
64,0,0,0
65,1,1,0
66,0,1,1
67,0,0,0
68,0,1,1
69,0,1,1
70,1,1,0
71,0,0,0
72,0,1,1
73,0,0,0
74,0,1,1
75,0,1,1
76,0,0,0
77,0,0,0
78,0,1,1
79,1,1,0
80,0,1,1
81,0,1,1
82,1,1,0
83,1,0,-1
84,0,0,0
85,0,0,0
86,0,0,0
87,0,1,1
88,0,0,0
89,0,1,1
90,0,0,0
91,0,1,1
92,0,1,1
93,0,1,1
94,0,1,1
95,0,0,0
96,0,0,0
97,0,1,1
98,0,0,0
99,1,1,0
100,0,1,1
101,0,0,0
102,1,1,0
103,0,0,0
104,0,0,0
105,1,1,0
106,0,0,0
107,0,0,0
108,0,1,1
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,1,1
114,0,0,0
115,0,1,1
116,0,1,1
117,0,1,1
118,0,0,0
119,0,1,1
120,1,1,0
121,1,0,-1
122,0,0,0
123,0,0,0
124,0,1,1
125,1,1,0
126,0,1,1
127,1,0,-1
128,0,1,1
129,0,0,0
130,0,0,0
131,0,1,1
132,0,0,0
133,0,1,1
134,1,1,0
135,0,1,1
136,1,1,0
137,0,1,1
138,1,1,0
139,0,1,1
140,0,1,1
141,0,1,1
142,0,0,0
143,0,1,1
144,0,0,0
145,0,0,0
146,0,1,1
147,1,1,0
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1,1
152,0,0,0
153,0,0,0
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,1,1,0
159,0,0,0
160,0,1,1
161,0,0,0
162,0,1,1
163,0,0,0
164,1,1,0
165,0,1,1
166,0,0,0
167,0,1,1
168,0,0,0
169,0,1,1
170,1,1,0
171,0,1,1
172,0,1,1
173,0,0,0
174,1,1,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,1,1
179,1,0,-1
180,1,1,0
181,1,1,0
182,0,0,0
183,0,0,0
184,0,1,1
185,1,1,0
186,0,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,0,0,0
191,1,1,0
192,1,1,0
193,0,0,0
194,0,1,1
195,0,1,1
196,0,1,1
197,0,0,0
198,0,0,0
199,1,1,0
200,0,0,0
