subset,model,n_pairs,arabic_correct,arabic_accuracy,english_correct,english_accuracy,english_minus_arabic,both_correct,both_wrong,english_only_correct,arabic_only_correct,discordant_pairs,mcnemar_exact_p,bootstrap_ci_low,bootstrap_ci_high,gemma_language_gap,qwen_language_gap,qwen_minus_gemma_gap,randomization_samples,randomization_p
ALL_200,Gemma-3-1B-IT,200,44.0,0.22,121.0,0.605,0.385,36.0,71.0,85.0,8.0,93.0,2.2644944585064495e-17,0.305,0.46,,,,,
ALL_200,Qwen2.5-Math-1.5B-Instruct,200,3.0,0.015,179.0,0.895,0.88,3.0,21.0,176.0,0.0,176.0,2.088097429759528e-53,0.835,0.925,,,,,
ALL_200,CROSS_MODEL,200,,,,,,,,,,,,0.415,0.575,0.385,0.88,0.495,100000.0,9.99990000099999e-06
DEFINITE_MATCHED,Gemma-3-1B-IT,196,44.0,0.22448979591836735,118.0,0.6020408163265306,0.37755102040816324,36.0,70.0,82.0,8.0,90.0,1.3838495394081657e-16,0.29591836734693877,0.45408163265306123,,,,,
DEFINITE_MATCHED,Qwen2.5-Math-1.5B-Instruct,196,3.0,0.015306122448979591,176.0,0.8979591836734694,0.8826530612244898,3.0,20.0,173.0,0.0,173.0,1.6704779438076223e-52,0.8367346938775511,0.9285714285714286,,,,,
DEFINITE_MATCHED,CROSS_MODEL,196,,,,,,,,,,,,0.42346938775510207,0.5867346938775511,0.37755102040816324,0.8826530612244898,0.5051020408163265,100000.0,9.99990000099999e-06
TRANSLATION_CLEAN,Gemma-3-1B-IT,191,43.0,0.225130890052356,116.0,0.6073298429319371,0.38219895287958117,35.0,67.0,81.0,8.0,89.0,2.5248620379419315e-16,0.3036649214659686,0.4607329842931937,,,,,
TRANSLATION_CLEAN,Qwen2.5-Math-1.5B-Instruct,191,3.0,0.015706806282722512,172.0,0.900523560209424,0.8848167539267016,3.0,19.0,169.0,0.0,169.0,2.6727647100921956e-51,0.837696335078534,0.9267015706806283,,,,,
TRANSLATION_CLEAN,CROSS_MODEL,191,,,,,,,,,,,,0.418848167539267,0.5863874345549738,0.38219895287958117,0.8848167539267016,0.5026178010471204,100000.0,9.99990000099999e-06
STRICT_QC,Gemma-3-1B-IT,186,43.0,0.23118279569892472,115.0,0.6182795698924731,0.3870967741935484,35.0,63.0,80.0,8.0,88.0,4.601761192576427e-16,0.3064516129032258,0.46774193548387094,,,,,
STRICT_QC,Qwen2.5-Math-1.5B-Instruct,186,3.0,0.016129032258064516,167.0,0.8978494623655914,0.8817204301075269,3.0,19.0,164.0,0.0,164.0,8.552847072295026e-50,0.8333333333333334,0.9247311827956989,,,,,
STRICT_QC,CROSS_MODEL,186,,,,,,,,,,,,0.40860215053763443,0.5806451612903226,0.3870967741935484,0.8817204301075269,0.4946236559139785,100000.0,9.99990000099999e-06
