problem_id,arabic_correct,english_correct,english_minus_arabic
101,0,1,1
102,0,0,0
103,0,0,0
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,0,1,1
109,0,0,0
110,0,1,1
111,0,1,1
112,0,0,0
113,0,1,1
114,0,1,1
115,0,1,1
116,0,1,1
117,0,1,1
118,0,0,0
119,0,1,1
120,0,1,1
121,0,0,0
122,0,1,1
123,0,1,1
124,0,1,1
125,0,1,1
126,0,1,1
127,0,1,1
128,0,1,1
129,0,1,1
130,0,1,1
131,0,1,1
132,0,1,1
133,0,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,0,1,1
138,0,1,1
139,0,1,1
140,0,1,1
141,0,1,1
142,0,1,1
143,0,1,1
144,0,0,0
145,0,0,0
146,0,1,1
147,0,1,1
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1,1
152,0,1,1
153,0,1,1
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,0,1,1
159,0,1,1
160,0,1,1
161,0,1,1
162,0,1,1
163,0,1,1
164,0,1,1
165,0,1,1
166,0,1,1
167,0,1,1
168,0,1,1
169,0,1,1
170,0,1,1
171,0,0,0
172,0,1,1
173,0,1,1
174,0,1,1
175,0,1,1
176,0,1,1
177,0,1,1
178,0,1,1
179,0,1,1
180,0,1,1
181,0,1,1
182,0,0,0
183,0,0,0
184,0,1,1
185,0,1,1
186,0,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,0,1,1
191,1,1,0
192,0,1,1
193,0,1,1
194,0,0,0
195,0,1,1
196,0,1,1
197,0,0,0
198,0,1,1
199,0,1,1
200,0,1,1
