problem_id,gemma_arabic_correct,gemma_english_correct,gemma_language_gap,qwen_arabic_correct,qwen_english_correct,qwen_language_gap,qwen_minus_gemma_gap
1,1,1,0,0,1,1,1
2,0,1,1,0,0,0,-1
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,1,1,0,0,1,1,1
6,0,0,0,0,1,1,1
7,0,1,1,0,1,1,0
8,0,0,0,0,1,1,1
9,0,1,1,0,1,1,0
10,0,1,1,0,1,1,0
11,0,1,1,0,1,1,0
12,0,1,1,0,1,1,0
13,1,1,0,1,1,0,0
14,1,1,0,0,1,1,1
15,0,0,0,1,1,0,0
16,0,1,1,0,1,1,0
17,0,1,1,0,1,1,0
18,1,1,0,0,1,1,1
19,1,0,-1,0,1,1,2
20,0,0,0,0,1,1,1
21,0,1,1,0,1,1,0
22,0,1,1,0,1,1,0
23,1,1,0,0,1,1,1
24,0,1,1,0,1,1,0
25,1,1,0,0,1,1,1
26,0,1,1,0,1,1,0
27,0,1,1,0,1,1,0
28,0,0,0,0,1,1,1
29,0,0,0,0,1,1,1
30,0,1,1,0,1,1,0
31,1,1,0,0,1,1,1
32,0,1,1,0,1,1,0
33,0,0,0,0,1,1,1
34,0,1,1,0,1,1,0
35,0,0,0,0,1,1,1
36,0,0,0,0,1,1,1
37,1,1,0,0,1,1,1
38,0,0,0,0,1,1,1
39,1,1,0,0,1,1,1
40,0,1,1,0,1,1,0
41,0,1,1,0,1,1,0
42,0,0,0,0,1,1,1
43,0,0,0,0,1,1,1
44,0,1,1,0,1,1,0
45,0,1,1,0,1,1,0
46,0,0,0,0,1,1,1
47,0,0,0,0,1,1,1
48,1,0,-1,0,1,1,2
49,0,1,1,0,1,1,0
50,1,1,0,0,1,1,1
51,0,1,1,0,1,1,0
52,0,1,1,0,1,1,0
53,0,0,0,0,1,1,1
54,0,1,1,0,1,1,0
55,0,0,0,0,1,1,1
56,1,1,0,0,1,1,1
57,0,1,1,0,1,1,0
58,1,1,0,0,1,1,1
59,0,0,0,0,0,0,0
60,1,0,-1,0,0,0,1
61,0,1,1,0,1,1,0
62,0,0,0,0,1,1,1
63,1,0,-1,0,1,1,2
64,0,0,0,0,1,1,1
65,1,1,0,0,1,1,1
66,0,1,1,0,1,1,0
67,0,0,0,0,0,0,0
68,0,1,1,0,1,1,0
69,0,1,1,0,1,1,0
70,1,1,0,0,1,1,1
71,0,0,0,0,1,1,1
72,0,1,1,0,1,1,0
73,0,0,0,0,1,1,1
74,0,1,1,0,1,1,0
75,0,1,1,0,1,1,0
76,0,0,0,0,1,1,1
77,0,0,0,0,0,0,0
78,0,1,1,0,1,1,0
79,1,1,0,0,1,1,1
80,0,1,1,0,1,1,0
81,0,1,1,0,1,1,0
82,1,1,0,0,1,1,1
83,1,0,-1,0,1,1,2
84,0,0,0,0,1,1,1
85,0,0,0,0,0,0,0
86,0,0,0,0,1,1,1
87,0,1,1,0,1,1,0
88,0,0,0,0,1,1,1
89,0,1,1,0,1,1,0
90,0,0,0,0,1,1,1
91,0,1,1,0,1,1,0
92,0,1,1,0,1,1,0
93,0,1,1,0,1,1,0
94,0,1,1,0,1,1,0
95,0,0,0,0,1,1,1
96,0,0,0,0,1,1,1
97,0,1,1,0,1,1,0
98,0,0,0,0,1,1,1
99,1,1,0,0,1,1,1
100,0,1,1,0,1,1,0
101,0,0,0,0,1,1,1
102,1,1,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,1,1,1
105,1,1,0,0,1,1,1
106,0,0,0,0,1,1,1
107,0,0,0,0,1,1,1
108,0,1,1,0,1,1,0
109,0,0,0,0,0,0,0
110,0,0,0,0,1,1,1
111,0,0,0,0,1,1,1
112,0,0,0,0,0,0,0
113,0,1,1,0,1,1,0
114,0,0,0,0,1,1,1
115,0,1,1,0,1,1,0
116,0,1,1,0,1,1,0
117,0,1,1,0,1,1,0
118,0,0,0,0,0,0,0
119,0,1,1,0,1,1,0
120,1,1,0,0,1,1,1
121,1,0,-1,0,0,0,1
122,0,0,0,0,1,1,1
123,0,0,0,0,1,1,1
124,0,1,1,0,1,1,0
125,1,1,0,0,1,1,1
126,0,1,1,0,1,1,0
127,1,0,-1,0,1,1,2
128,0,1,1,0,1,1,0
129,0,0,0,0,1,1,1
130,0,0,0,0,1,1,1
131,0,1,1,0,1,1,0
132,0,0,0,0,1,1,1
133,0,1,1,0,1,1,0
134,1,1,0,0,1,1,1
135,0,1,1,0,1,1,0
136,1,1,0,0,1,1,1
137,0,1,1,0,1,1,0
138,1,1,0,0,1,1,1
139,0,1,1,0,1,1,0
140,0,1,1,0,1,1,0
141,0,1,1,0,1,1,0
142,0,0,0,0,1,1,1
143,0,1,1,0,1,1,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,1,1,0,1,1,0
147,1,1,0,0,1,1,1
148,0,1,1,0,1,1,0
149,0,1,1,0,1,1,0
150,0,1,1,0,1,1,0
151,0,1,1,0,1,1,0
152,0,0,0,0,1,1,1
153,0,0,0,0,1,1,1
154,0,1,1,0,1,1,0
155,0,1,1,0,1,1,0
156,0,1,1,0,1,1,0
157,0,1,1,0,1,1,0
158,1,1,0,0,1,1,1
159,0,0,0,0,1,1,1
160,0,1,1,0,1,1,0
161,0,0,0,0,1,1,1
162,0,1,1,0,1,1,0
163,0,0,0,0,1,1,1
164,1,1,0,0,1,1,1
165,0,1,1,0,1,1,0
166,0,0,0,0,1,1,1
167,0,1,1,0,1,1,0
168,0,0,0,0,1,1,1
169,0,1,1,0,1,1,0
170,1,1,0,0,1,1,1
171,0,1,1,0,0,0,-1
172,0,1,1,0,1,1,0
173,0,0,0,0,1,1,1
174,1,1,0,0,1,1,1
175,0,0,0,0,1,1,1
176,0,0,0,0,1,1,1
177,0,0,0,0,1,1,1
178,0,1,1,0,1,1,0
179,1,0,-1,0,1,1,2
180,1,1,0,0,1,1,1
181,1,1,0,0,1,1,1
182,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0
184,0,1,1,0,1,1,0
185,1,1,0,0,1,1,1
186,0,1,1,0,1,1,0
187,0,1,1,0,1,1,0
188,0,1,1,0,1,1,0
189,0,1,1,0,1,1,0
190,0,0,0,0,1,1,1
191,1,1,0,1,1,0,0
192,1,1,0,0,1,1,1
193,0,0,0,0,1,1,1
194,0,1,1,0,0,0,-1
195,0,1,1,0,1,1,0
196,0,1,1,0,1,1,0
197,0,0,0,0,0,0,0
198,0,0,0,0,1,1,1
199,1,1,0,0,1,1,1
200,0,0,0,0,1,1,1
