scenario,excluded_ids,model,n,arabic_correct,arabic_accuracy,english_correct,english_accuracy,gap,both_correct,both_wrong,english_only,arabic_only,mcnemar_p,ci_low,ci_high
ALL_100,,Gemma-3-1B-IT,100,23.0,0.23,61.0,0.61,0.38,18.0,34.0,43.0,5.0,1.3680484300948594e-08,0.27,0.49
ALL_100,,Qwen2.5-Math-1.5B-Instruct,100,2.0,0.02,92.0,0.92,0.9,2.0,8.0,90.0,0.0,1.6155871338926322e-27,0.84,0.95
ALL_100,,Qwen-minus-Gemma language-gap difference,100,,,,,0.52,,,,,9.99990000099999e-06,0.4,0.64
DEFINITE_MATCHED_98,"51,100",Gemma-3-1B-IT,98,23.0,0.23469387755102042,59.0,0.6020408163265306,0.3673469387755102,18.0,34.0,41.0,5.0,4.405936238072172e-08,0.25510204081632654,0.47959183673469385
DEFINITE_MATCHED_98,"51,100",Qwen2.5-Math-1.5B-Instruct,98,2.0,0.02040816326530612,90.0,0.9183673469387755,0.8979591836734694,2.0,8.0,88.0,0.0,6.462348535570529e-27,0.8367346938775511,0.9489795918367347
DEFINITE_MATCHED_98,"51,100",Qwen-minus-Gemma language-gap difference,98,,,,,0.5306122448979592,,,,,9.99990000099999e-06,0.41836734693877553,0.6530612244897959
TRANSLATION_CLEAN_97,"51,55,100",Gemma-3-1B-IT,97,23.0,0.23711340206185566,59.0,0.6082474226804123,0.3711340206185567,18.0,33.0,41.0,5.0,4.405936238072172e-08,0.25773195876288657,0.4845360824742268
TRANSLATION_CLEAN_97,"51,55,100",Qwen2.5-Math-1.5B-Instruct,97,2.0,0.020618556701030927,89.0,0.9175257731958762,0.8969072164948454,2.0,8.0,87.0,0.0,1.2924697071141057e-26,0.8350515463917526,0.9484536082474226
TRANSLATION_CLEAN_97,"51,55,100",Qwen-minus-Gemma language-gap difference,97,,,,,0.5257731958762887,,,,,9.99990000099999e-06,0.4020618556701031,0.6494845360824743
STRICT_QC_95,"43,51,55,86,100",Gemma-3-1B-IT,95,23.0,0.24210526315789474,59.0,0.6210526315789474,0.37894736842105264,18.0,31.0,41.0,5.0,4.405936238072172e-08,0.2631578947368421,0.49473684210526314
STRICT_QC_95,"43,51,55,86,100",Qwen2.5-Math-1.5B-Instruct,95,2.0,0.021052631578947368,87.0,0.9157894736842105,0.8947368421052632,2.0,8.0,85.0,0.0,5.169878828456423e-26,0.8315789473684211,0.9473684210526315
STRICT_QC_95,"43,51,55,86,100",Qwen-minus-Gemma language-gap difference,95,,,,,0.5157894736842106,,,,,9.99990000099999e-06,0.4,0.631578947368421
