problem_id,category,problem,response,num_steps,average_score,minimum_score,maximum_score,step_scores
1,correct,"Ahmed has 20 apples. He gives 7 apples to his friend, then buys 5 more apples. How many apples does he have now?","Ahmed starts with 20 apples.
He gives 7 apples to his friend, so:
20 - 7 = 13 apples.
Then he buys 5 more apples:
13 + 5 = 18 apples.
Therefore, Ahmed has 18 apples.",8,0.9882538542151451,0.9689024090766907,0.9974529147148132,0.9689 0.9804 0.9946 0.9975 0.9965 0.9953 0.9786 0.9942
1,arithmetic_error,"Ahmed has 20 apples. He gives 7 apples to his friend, then buys 5 more apples. How many apples does he have now?","Ahmed starts with 20 apples.
He gives 7 apples to his friend:
20 - 7 = 13 apples.
Then he buys 5 more apples:
13 + 5 = 19 apples.
Therefore, Ahmed has 19 apples.",8,0.6422831604722887,0.02271701581776142,0.9970857501029968,0.9689 0.9804 0.9948 0.9971 0.9952 0.1038 0.0227 0.0754
1,logic_error,"Ahmed has 20 apples. He gives 7 apples to his friend, then buys 5 more apples. How many apples does he have now?","Ahmed starts with 20 apples.
He gives 7 apples to his friend, so:
20 + 7 = 27 apples.
Then he buys 5 more apples:
27 + 5 = 32 apples.
Therefore, Ahmed has 32 apples.",8,0.4492719639092684,0.0199589766561985,0.9945817589759827,0.9689 0.9804 0.9946 0.2391 0.2139 0.1471 0.0200 0.0302
1,completely_wrong,"Ahmed has 20 apples. He gives 7 apples to his friend, then buys 5 more apples. How many apples does he have now?","Ahmed has 20 apples.
He gives 7 apples and then buys 5 apples.
We calculate:
20 - 7 - 5 = 8.
Therefore, he has 8 apples.",7,0.5720124830092702,0.019155099987983704,0.9689024090766907,0.9689 0.9545 0.9179 0.9297 0.1720 0.0192 0.0420
2,correct,Sara has 15 books. She gives 4 books to her sister and then buys 6 new books. How many books does she have now?,"Sara has 15 books.
She gives 4 books to her sister:
15 - 4 = 11 books.
Then she buys 6 books:
11 + 6 = 17 books.
Therefore, she has 17 books.",8,0.988891065120697,0.95017409324646,0.9995501637458801,0.9820 0.9957 0.9990 0.9996 0.9992 0.9932 0.9502 0.9924
2,arithmetic_error,Sara has 15 books. She gives 4 books to her sister and then buys 6 new books. How many books does she have now?,"Sara has 15 books.
She gives 4 books:
15 - 4 = 11 books.
Then she buys 6 books:
11 + 6 = 16 books.
Therefore, she has 16 books.",8,0.6535344142466784,0.023606926202774048,0.9995331764221191,0.9820 0.9957 0.9983 0.9995 0.9994 0.1339 0.0236 0.0959
2,logic_error,Sara has 15 books. She gives 4 books to her sister and then buys 6 new books. How many books does she have now?,"Sara has 15 books.
She gives 4 books to her sister, so:
15 + 4 = 19 books.
Then she buys 6 books:
19 + 6 = 25 books.
Therefore, she has 25 books.",8,0.4365635847207159,0.01209239661693573,0.998403012752533,0.9820 0.9957 0.9984 0.2208 0.1460 0.1105 0.0121 0.0271
2,completely_wrong,Sara has 15 books. She gives 4 books to her sister and then buys 6 new books. How many books does she have now?,"Sara has 15 books.
She gives 4 books and then buys 6 books.
We calculate:
15 - 4 - 6 = 5.
Therefore, she has 5 books.",7,0.6145116207855088,0.06317365914583206,0.9956868290901184,0.9820 0.9957 0.9715 0.9676 0.2232 0.0632 0.0984
3,correct,"Mohammed buys 8 pens, and he already has 12 pens at home. He gives 5 pens to his friend. How many pens does he have left?","Mohammed has 12 pens.
He buys 8 more pens:
12 + 8 = 20 pens.
Then he gives 5 pens to his friend:
20 - 5 = 15 pens.
Therefore, he has 15 pens left.",8,0.6062664985656738,0.3624642491340637,0.8211129307746887,0.7561 0.3625 0.5605 0.6474 0.6365 0.5233 0.5426 0.8211
3,arithmetic_error,"Mohammed buys 8 pens, and he already has 12 pens at home. He gives 5 pens to his friend. How many pens does he have left?","Mohammed has 12 pens.
He buys 8 pens:
12 + 8 = 20 pens.
Then he gives 5 pens:
20 - 5 = 16 pens.
Therefore, he has 16 pens left.",8,0.4486351637169719,0.08144847303628922,0.7561333775520325,0.7561 0.3625 0.5723 0.6668 0.5865 0.1886 0.0814 0.3748
3,logic_error,"Mohammed buys 8 pens, and he already has 12 pens at home. He gives 5 pens to his friend. How many pens does he have left?","Mohammed has 12 pens.
He buys 8 pens.
Instead of adding the pens, we calculate:
12 - 8 = 4 pens.
Then he gives 5 pens:
4 - 5 = -1 pen.
Therefore, he has one pen left.",9,0.3081617338789834,0.0560469925403595,0.7561333775520325,0.7561 0.3625 0.5621 0.4713 0.1744 0.1395 0.1704 0.0560 0.0811
