problem_id,arabic_correct,english_correct,english_minus_arabic
101,0,0,0
102,1,1,0
103,0,0,0
104,0,0,0
105,1,1,0
106,0,0,0
107,0,0,0
108,0,1,1
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,1,1
114,0,0,0
115,0,1,1
116,0,1,1
117,0,1,1
118,0,0,0
119,0,1,1
120,1,1,0
121,1,0,-1
122,0,0,0
123,0,0,0
124,0,1,1
125,1,1,0
126,0,1,1
127,1,0,-1
128,0,1,1
129,0,0,0
130,0,0,0
131,0,1,1
132,0,0,0
133,0,1,1
134,1,1,0
135,0,1,1
136,1,1,0
137,0,1,1
138,1,1,0
139,0,1,1
140,0,1,1
141,0,1,1
142,0,0,0
143,0,1,1
144,0,0,0
145,0,0,0
146,0,1,1
147,1,1,0
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1,1
152,0,0,0
153,0,0,0
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,1,1,0
159,0,0,0
160,0,1,1
161,0,0,0
162,0,1,1
163,0,0,0
164,1,1,0
165,0,1,1
166,0,0,0
167,0,1,1
168,0,0,0
169,0,1,1
170,1,1,0
171,0,1,1
172,0,1,1
173,0,0,0
174,1,1,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,1,1
179,1,0,-1
180,1,1,0
181,1,1,0
182,0,0,0
183,0,0,0
184,0,1,1
185,1,1,0
186,0,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,0,0,0
191,1,1,0
192,1,1,0
193,0,0,0
194,0,1,1
195,0,1,1
196,0,1,1
197,0,0,0
198,0,0,0
199,1,1,0
200,0,0,0
